pH,N,P,K,Crop,Report
7.5,89,62,50,Coconut,"**Soil Deficiency**: pH is 7.5 (optimal 5.5-7.5, suitable), N is 89 (optimal 80-100, adequate), P is 62 (optimal 40-60, high), K is 50 (optimal 35-50, adequate). **Fertilizer Suggestion**: Maintain current levels; reduce P applications. **Soil Type Context**: Alluvial soil, suitable for Coconut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Apply coconut husk mulch; monitor for red palm weevil."
6.2,66,38,37,Groundnut,"**Soil Deficiency**: pH is 6.2 (optimal 6.0-7.0, suitable), N is 66 (optimal 60-80, adequate), P is 38 (optimal 20-40, adequate), K is 37 (optimal 30-50, adequate). **Fertilizer Suggestion**: Maintain current levels **Soil Type Context**: Sandy soil, suitable for Groundnut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Inoculate with Rhizobium; rotate with Paddy."
6.1,125,43,58,Arecanut,"**Soil Deficiency**: pH is 6.1 (optimal 5.5-7.0, suitable), N is 125 (optimal 85-105, high), P is 43 (optimal 35-55, adequate), K is 58 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers. **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
5.0,125,32,92,Cocoa,"**Soil Deficiency**: pH is 5.0 (optimal 6.0-7.0, too acidic), N is 125 (optimal 90-120, high), P is 32 (optimal 30-50, adequate), K is 92 (optimal 60-80, high). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce K applications.; apply lime (500 kg/ha). **Soil Type Context**: Red soil, suitable for Cocoa. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Plant shade trees; add compost (5 tons/ha)."
7.1,65,48,68,Pepper,"**Soil Deficiency**: pH is 7.1 (optimal 5.5-6.5, too alkaline), N is 65 (optimal 60-80, adequate), P is 48 (optimal 30-50, adequate), K is 68 (optimal 45-65, high). **Fertilizer Suggestion**: Maintain current levels; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial/Black soil, suitable for Pepper. **Irrigation Recommendation**: Use rainfed irrigation. **Additional Suggestions**: Provide trellises; apply neem cake (1 kg/vine)."
7.5,104,49,39,Cardamom,"**Soil Deficiency**: pH is 7.5 (optimal 5.5-6.5, too alkaline), N is 104 (optimal 70-90, high), P is 49 (optimal 25-45, high), K is 39 (optimal 40-60, low). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; reduce P applications.; apply potash (15 kg/ha).; apply sulfur (400 kg/ha). **Soil Type Context**: Black soil, suitable for Cardamom. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Ensure high humidity; apply leaf litter mulch."
7.9,113,44,48,Arecanut,"**Soil Deficiency**: pH is 7.9 (optimal 5.5-7.0, too alkaline), N is 113 (optimal 85-105, high), P is 44 (optimal 35-55, adequate), K is 48 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; avoid additional N fertilizers.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use well irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
6.9,79,43,78,Pepper,"**Soil Deficiency**: pH is 6.9 (optimal 5.5-6.5, too alkaline), N is 79 (optimal 60-80, adequate), P is 43 (optimal 30-50, adequate), K is 78 (optimal 45-65, high). **Fertilizer Suggestion**: Maintain current levels; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial/Black soil, suitable for Pepper. **Irrigation Recommendation**: Use canal irrigation. **Additional Suggestions**: Provide trellises; apply neem cake (1 kg/vine)."
7.4,76,43,75,Pepper,"**Soil Deficiency**: pH is 7.4 (optimal 5.5-6.5, too alkaline), N is 76 (optimal 60-80, adequate), P is 43 (optimal 30-50, adequate), K is 75 (optimal 45-65, high). **Fertilizer Suggestion**: Maintain current levels; reduce K applications.; apply sulfur (400 kg/ha). **Soil Type Context**: Alluvial/Black soil, suitable for Pepper. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Provide trellises; apply neem cake (1 kg/vine)."
6.6,83,63,56,Arecanut,"**Soil Deficiency**: pH is 6.6 (optimal 5.5-7.0, suitable), N is 83 (optimal 85-105, low), P is 63 (optimal 35-55, high), K is 56 (optimal 40-60, adequate). **Fertilizer Suggestion**: Maintain current levels; apply urea (15 kg/ha).; reduce P applications. **Soil Type Context**: Alluvial soil, suitable for Arecanut. **Irrigation Recommendation**: Use drip irrigation. **Additional Suggestions**: Intercrop with Pepper; apply farmyard manure (10 tons/ha)."
